timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3059205607,3059205079,-0.99936855,-0.004532521,-0.013611172,0.032508932,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059255696,3059255031,-0.9993676,-0.0045376066,-0.013671384,0.032511078,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059305543,3059304983,-0.9993679,-0.0045359195,-0.013639703,0.032517564,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059355467,3059354934,-0.9993675,-0.004528811,-0.013618379,0.032536313,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059405414,3059404886,-0.99936736,-0.0045359647,-0.013601389,0.032548368,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059455364,3059454840,-0.9993673,-0.004544789,-0.013593659,0.032554023,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059505405,3059504790,-0.99936813,-0.0045480407,-0.013603885,0.03252057,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059555417,3059554742,-0.9993693,-0.004546904,-0.013598537,0.032488126,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059605348,3059604694,-0.99937046,-0.0045447103,-0.013602984,0.032452155,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059655321,3059654645,-0.99937135,-0.0045436304,-0.013614003,0.032419734,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059705192,3059704597,-0.9993721,-0.00454628,-0.013617191,0.032393012,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059755145,3059754549,-0.9993724,-0.004542654,-0.013613043,0.03238793,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059805097,3059804501,-0.9993721,-0.00455901,-0.013616977,0.032392476,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059855032,3059854453,-0.9993709,-0.004558702,-0.013626613,0.032425992,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
