timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3413699378,0,1,1,1,1,1,1,0,0,0,1,1
3414707129,0,1,1,1,1,1,1,0,0,0,1,1
3414758114,0,1,1,1,1,1,1,0,0,0,1,0
3415766323,0,1,1,1,1,1,1,0,0,0,1,0
3416776101,0,1,1,1,1,1,1,0,0,0,1,0
3417784231,0,1,1,1,1,1,1,0,0,0,1,0
3417844077,0,1,1,1,1,1,1,0,0,0,1,1
3418854053,0,1,1,1,1,1,1,0,0,0,1,1
3419862078,0,1,1,1,1,1,1,0,0,0,1,1
3420870997,0,1,1,1,1,1,1,0,0,0,1,1
3421481380,0,1,1,1,1,1,1,0,0,0,1,0
3422489513,0,1,1,1,1,1,1,0,0,0,1,0
3422549400,0,1,1,1,1,1,1,0,0,0,1,1
3422620320,0,1,1,1,1,1,1,0,0,0,1,0
3423628316,0,1,1,1,1,1,1,0,0,0,1,0
3424638234,0,1,1,1,1,1,1,0,0,0,1,0
3425566518,0,1,1,1,1,1,1,0,0,0,1,1
3426576459,0,1,1,1,1,1,1,0,0,0,1,1
3427584408,0,1,1,1,1,1,1,0,0,0,1,1
3428594535,0,1,1,1,1,1,1,0,0,0,1,1
3429602370,0,1,1,1,1,1,1,0,0,0,1,1
3430602454,0,1,1,1,1,1,1,0,0,0,1,1
3431610304,0,1,1,1,1,1,1,0,0,0,1,1
3432620479,0,1,1,1,1,1,1,0,0,0,1,1
3433628633,0,1,1,1,1,1,1,0,0,0,1,1
3434638279,0,1,1,1,1,1,1,0,0,0,1,1
3435646404,0,1,1,1,1,1,1,0,0,0,1,1
3436656349,0,1,1,1,1,1,1,0,0,0,1,1
3437664298,0,1,1,1,1,1,1,0,0,0,1,1
3438674315,0,1,1,1,1,1,1,0,0,0,1,1
3439682407,0,1,1,1,1,1,1,0,0,0,1,1
3440682466,0,1,1,1,1,1,1,0,0,0,1,1
3441690415,0,1,1,1,1,1,1,0,0,0,1,1
