timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3268996373,-0.038666073,0,0,0,0,0,0,0,0,0
3269508054,-0.04111383,0,0,0,0,0,0,0,0,0
3270018612,-0.043125678,0,0,0,0,0,0,0,0,0
3270529331,-0.03499257,0,0,0,0,0,0,0,0,0
3271030363,-0.028927488,0,0,0,0,0,0,0,0,0
3271530478,-0.024722144,0,0,0,0,0,0,0,0,0
3272040289,-0.02143512,0,0,0,0,0,0,0,0,0
3272551321,-0.02386465,0,0,0,0,0,0,0,0,0
3273061438,-0.036629133,0,0,0,0,0,0,0,0,0
3273572690,-0.024667421,0,0,0,0,0,0,0,0,0
3274082288,-0.01578002,0,0,0,0,0,0,0,0,0
3274583205,-0.022051066,0,0,0,0,0,0,0,0,0
3275093807,-0.033395078,0,0,0,0,0,0,0,0,0
3275604585,-0.034519546,0,0,0,0,0,0,0,0,0
3276115472,-0.030792424,0,0,0,0,0,0,0,0,0
3276615932,-0.02539546,0,0,0,0,0,0,0,0,0
3277125460,-0.02168831,0,0,0,0,0,0,0,0,0
3277625975,-0.023809388,0,0,0,0,0,0,0,0,0
3278135557,-0.02647209,0,0,0,0,0,0,0,0,0
3278646356,-0.030592224,0,0,0,0,0,0,0,0,0
3279156332,-0.043270864,0,0,0,0,0,0,0,0,0
3279656430,-0.041063108,0,0,0,0,0,0,0,0,0
3280167858,-0.04241712,0,0,0,0,0,0,0,0,0
3280678600,-0.043527927,0,0,0,0,0,0,0,0,0
3281189074,-0.04456688,0,0,0,0,0,0,0,0,0
3281699508,-0.04723123,0,0,0,0,0,0,0,0,0
3282210633,-0.049517255,0,0,0,0,0,0,0,0,0
3282721370,-0.06262692,0,0,0,0,0,0,0,0,0
3283222323,-0.056968585,0,0,0,0,0,0,0,0,0
3283732469,-0.059540745,0,0,0,0,0,0,0,0,0
3284242287,-0.065783754,0,0,0,0,0,0,0,0,0
3284755070,-0.064372584,0,0,0,0,0,0,0,0,0
3285256362,-0.049000915,0,0,0,0,0,0,0,0,0
3285766289,-0.048085194,0,0,0,0,0,0,0,0,0
3286266661,-0.041966815,0,0,0,0,0,0,0,0,0
3286777394,-0.034988612,0,0,0,0,0,0,0,0,0
3287288586,-0.033638716,0,0,0,0,0,0,0,0,0
3287798408,-0.033683952,0,0,0,0,0,0,0,0,0
3288310251,-0.0358455,0,0,0,0,0,0,0,0,0
3288820990,-0.03192368,0,0,0,0,0,0,0,0,0
3289331288,-0.039995305,0,0,0,0,0,0,0,0,0
3289841290,-0.04301906,0,0,0,0,0,0,0,0,0
3290341357,-0.05334558,0,0,0,0,0,0,0,0,0
3290851291,-0.063037984,0,0,0,0,0,0,0,0,0
3291351369,-0.057395812,0,0,0,0,0,0,0,0,0
3291851616,-0.056167196,0,0,0,0,0,0,0,0,0
3292361937,-0.054134473,0,0,0,0,0,0,0,0,0
3292872355,-0.045190237,0,0,0,0,0,0,0,0,0
3293382579,-0.04095364,0,0,0,0,0,0,0,0,0
3293885112,-0.033706337,0,0,0,0,0,0,0,0,0
3294395814,-0.030187251,0,0,0,0,0,0,0,0,0
3294906545,-0.04204762,0,0,0,0,0,0,0,0,0
3295416289,-0.047171876,0,0,0,0,0,0,0,0,0
3295916383,-0.05327849,0,0,0,0,0,0,0,0,0
3296426636,-0.053605136,0,0,0,0,0,0,0,0,0
3296927329,-0.048905082,0,0,0,0,0,0,0,0,0
3297437370,-0.047677636,0,0,0,0,0,0,0,0,0
3297938287,-0.050846346,0,0,0,0,0,0,0,0,0
3298438351,-0.059117306,0,0,0,0,0,0,0,0,0
3298950661,-0.057041775,0,0,0,0,0,0,0,0,0
3299460744,-0.057365738,0,0,0,0,0,0,0,0,0
3299971289,-0.0500953,0,0,0,0,0,0,0,0,0
3300481289,-0.058114056,0,0,0,0,0,0,0,0,0
3300981342,-0.06609234,0,0,0,0,0,0,0,0,0
3301481391,-0.069421135,0,0,0,0,0,0,0,0,0
3301991332,-0.073136665,0,0,0,0,0,0,0,0,0
3302501485,-0.081104256,0,0,0,0,0,0,0,0,0
3303012327,-0.08627456,0,0,0,0,0,0,0,0,0
3303523289,-0.0882994,0,0,0,0,0,0,0,0,0
3304033438,-0.08499141,0,0,0,0,0,0,0,0,0
3304545032,-0.083217315,0,0,0,0,0,0,0,0,0
3305055745,-0.08595869,0,0,0,0,0,0,0,0,0
3305555960,-0.08034626,0,0,0,0,0,0,0,0,0
3306065466,-0.08142346,0,0,0,0,0,0,0,0,0
3306575399,-0.09736435,0,0,0,0,0,0,0,0,0
3307075542,-0.082186304,0,0,0,0,0,0,0,0,0
3307587025,-0.067091174,0,0,0,0,0,0,0,0,0
3308097393,-0.05782003,0,0,0,0,0,0,0,0,0
3308608290,-0.050927665,0,0,0,0,0,0,0,0,0
3309118541,-0.043378014,0,0,0,0,0,0,0,0,0
3309630201,-0.04469369,0,0,0,0,0,0,0,0,0
3310141089,-0.04788837,0,0,0,0,0,0,0,0,0
3310651423,-0.048206985,0,0,0,0,0,0,0,0,0
3311161356,-0.06677002,0,0,0,0,0,0,0,0,0
3311672736,-0.075040035,0,0,0,0,0,0,0,0,0
3312182329,-0.10056756,0,0,0,0,0,0,0,0,0
3312693293,-0.10692009,0,0,0,0,0,0,0,0,0
3313203478,-0.10991168,0,0,0,0,0,0,0,0,0
3313714290,-0.10343279,0,0,0,0,0,0,0,0,0
3314225933,-0.10361571,0,0,0,0,0,0,0,0,0
3314736374,-0.09211457,0,0,0,0,0,0,0,0,0
3315246497,-0.091614015,0,0,0,0,0,0,0,0,0
3315757293,-0.09345745,0,0,0,0,0,0,0,0,0
3316267362,-0.0860723,0,0,0,0,0,0,0,0,0
3316778334,-0.09965066,0,0,0,0,0,0,0,0,0
3317288570,-0.09814073,0,0,0,0,0,0,0,0,0
3317799335,-0.093587175,0,0,0,0,0,0,0,0,0
3318302873,-0.09000913,0,0,0,0,0,0,0,0,0
3318813421,-0.08918586,0,0,0,0,0,0,0,0,0
3319323795,-0.09013391,0,0,0,0,0,0,0,0,0
3319834329,-0.08115358,0,0,0,0,0,0,0,0,0
3320344492,-0.08887027,0,0,0,0,0,0,0,0,0
3320855434,-0.079387166,0,0,0,0,0,0,0,0,0
3321365674,-0.07355374,0,0,0,0,0,0,0,0,0
3321876451,-0.06747688,0,0,0,0,0,0,0,0,0
3322388023,-0.06176874,0,0,0,0,0,0,0,0,0
3322898616,-0.054303106,0,0,0,0,0,0,0,0,0
3323408313,-0.05324454,0,0,0,0,0,0,0,0,0
3323919429,-0.05552738,0,0,0,0,0,0,0,0,0
3324430583,-0.048214804,0,0,0,0,0,0,0,0,0
3324940288,-0.06303808,0,0,0,0,0,0,0,0,0
3325440432,-0.080669194,0,0,0,0,0,0,0,0,0
3325951333,-0.07953078,0,0,0,0,0,0,0,0,0
3326461291,-0.08241679,0,0,0,0,0,0,0,0,0
3326971435,-0.08024386,0,0,0,0,0,0,0,0,0
3327474225,-0.083548695,0,0,0,0,0,0,0,0,0
3327984500,-0.09354166,0,0,0,0,0,0,0,0,0
3328485402,-0.09000685,0,0,0,0,0,0,0,0,0
3328996364,-0.08543966,0,0,0,0,0,0,0,0,0
3329506483,-0.08743798,0,0,0,0,0,0,0,0,0
3330016289,-0.085753225,0,0,0,0,0,0,0,0,0
3330526288,-0.08966407,0,0,0,0,0,0,0,0,0
3331026840,-0.08136306,0,0,0,0,0,0,0,0,0
3331537332,-0.08272316,0,0,0,0,0,0,0,0,0
3332047290,-0.071033254,0,0,0,0,0,0,0,0,0
3332559453,-0.06233241,0,0,0,0,0,0,0,0,0
3333069452,-0.057380203,0,0,0,0,0,0,0,0,0
3333580330,-0.05326258,0,0,0,0,0,0,0,0,0
3334090290,-0.045443386,0,0,0,0,0,0,0,0,0
3334590734,-0.043269128,0,0,0,0,0,0,0,0,0
3335100400,-0.03561403,0,0,0,0,0,0,0,0,0
3335602332,-0.030866425,0,0,0,0,0,0,0,0,0
3336112292,-0.026742471,0,0,0,0,0,0,0,0,0
3336624217,-0.023320086,0,0,0,0,0,0,0,0,0
3337135212,-0.017558403,0,0,0,0,0,0,0,0,0
3337645500,-0.015154226,0,0,0,0,0,0,0,0,0
3338146291,-0.011774934,0,0,0,0,0,0,0,0,0
3338657168,-0.018819373,0,0,0,0,0,0,0,0,0
3339166514,-0.027024629,0,0,0,0,0,0,0,0,0
3339677291,-0.023880232,0,0,0,0,0,0,0,0,0
3340187540,-0.04082185,0,0,0,0,0,0,0,0,0
3340698333,-0.039702345,0,0,0,0,0,0,0,0,0
3341209971,-0.048746426,0,0,0,0,0,0,0,0,0
3341720391,-0.050452203,0,0,0,0,0,0,0,0,0
3342230545,-0.05201022,0,0,0,0,0,0,0,0,0
3342741346,-0.049476974,0,0,0,0,0,0,0,0,0
3343251288,-0.048759144,0,0,0,0,0,0,0,0,0
3343762289,-0.039592583,0,0,0,0,0,0,0,0,0
3344272428,-0.03791298,0,0,0,0,0,0,0,0,0
3344783413,-0.039055098,0,0,0,0,0,0,0,0,0
3345286026,-0.05383001,0,0,0,0,0,0,0,0,0
3345796494,-0.051505428,0,0,0,0,0,0,0,0,0
3346306806,-0.063959286,0,0,0,0,0,0,0,0,0
3346817325,-0.063311666,0,0,0,0,0,0,0,0,0
3347327290,-0.052027747,0,0,0,0,0,0,0,0,0
3347838304,-0.0450967,0,0,0,0,0,0,0,0,0
3348348336,-0.042798452,0,0,0,0,0,0,0,0,0
3348859467,-0.038149923,0,0,0,0,0,0,0,0,0
3349369010,-0.038798228,0,0,0,0,0,0,0,0,0
3349879402,-0.045455277,0,0,0,0,0,0,0,0,0
3350389287,-0.045236807,0,0,0,0,0,0,0,0,0
3350890334,-0.0441139,0,0,0,0,0,0,0,0,0
3351401138,-0.04175647,0,0,0,0,0,0,0,0,0
3351911474,-0.036132056,0,0,0,0,0,0,0,0,0
3352421294,-0.0346915,0,0,0,0,0,0,0,0,0
3352921431,-0.032531764,0,0,0,0,0,0,0,0,0
3353431331,-0.031575564,0,0,0,0,0,0,0,0,0
3353942329,-0.033219453,0,0,0,0,0,0,0,0,0
3354442440,-0.03368492,0,0,0,0,0,0,0,0,0
3354952291,-0.03612079,0,0,0,0,0,0,0,0,0
3355452856,-0.028538166,0,0,0,0,0,0,0,0,0
3355962469,-0.033492353,0,0,0,0,0,0,0,0,0
3356473288,-0.044077132,0,0,0,0,0,0,0,0,0
3356983312,-0.08062453,0,0,0,0,0,0,0,0,0
3357484079,-0.08356987,0,0,0,0,0,0,0,0,0
3357994529,-0.09687893,0,0,0,0,0,0,0,0,0
3358505623,-0.11301456,0,0,0,0,0,0,0,0,0
3359015560,-0.119762816,0,0,0,0,0,0,0,0,0
3359524574,-0.13678166,0,0,0,0,0,0,0,0,0
3360035935,-0.16028985,0,0,0,0,0,0,0,0,0
3360546429,-0.18060304,0,0,0,0,0,0,0,0,0
3361056290,-0.2010586,0,0,0,0,0,0,0,0,0
3361566789,-0.2053398,0,0,0,0,0,0,0,0,0
3362077493,-0.21362837,0,0,0,0,0,0,0,0,0
