timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3364631489,0,1,0,1,0,1,1,0,1,1,1,1,0
3365141277,0,1,0,1,0,1,1,0,1,1,1,1,0
3365652314,0,1,0,1,0,1,1,0,1,1,1,1,0
3366162571,0,1,0,1,0,1,1,0,1,1,1,1,0
3366673279,0,1,0,1,0,1,1,0,1,1,1,1,0
3367183380,0,1,0,1,0,1,1,0,1,1,1,1,0
3367694907,0,1,0,1,0,1,1,0,1,1,1,1,0
3368205528,0,1,0,1,0,1,1,0,1,1,1,1,0
3368715392,0,1,0,1,0,1,1,0,1,1,1,1,0
3369215512,0,1,0,1,0,1,1,0,1,1,1,1,0
3369724278,0,1,0,1,0,1,1,0,1,1,1,1,0
3370235524,0,1,0,1,0,1,1,0,1,1,1,1,0
3370735620,0,1,0,1,0,1,1,0,1,1,1,1,0
3371245391,0,1,0,1,0,1,1,0,1,1,1,1,0
3371755868,0,1,0,1,0,1,1,0,1,1,1,1,0
3372266356,0,1,0,1,0,1,1,0,1,1,1,1,0
3372777321,0,1,0,1,0,1,1,0,1,1,1,1,0
3373287284,0,1,0,1,0,1,1,0,1,1,1,1,0
3373798967,0,1,0,1,0,1,1,0,1,1,1,1,0
3374309464,0,1,0,1,0,1,1,0,1,1,1,1,0
3374819963,0,1,0,1,0,1,1,0,1,1,1,1,0
3375330300,0,1,0,1,0,1,1,0,1,1,1,1,0
3375830519,0,1,0,1,0,1,1,0,1,1,1,1,0
3376340279,0,1,0,1,0,1,1,0,1,1,1,1,0
3376842298,0,1,0,1,0,1,1,0,1,1,1,1,0
3377352839,0,1,0,1,0,1,1,0,1,1,1,1,0
3377863885,0,1,0,1,0,1,1,0,1,1,1,1,0
3378374653,0,1,0,1,0,1,1,0,1,1,1,1,0
3378884380,0,1,0,1,0,1,1,0,1,1,1,1,0
3379384457,0,1,0,1,0,1,1,0,1,1,1,1,0
3379885685,0,1,0,1,0,1,1,0,1,1,1,1,0
3380395416,0,1,0,1,0,1,1,0,1,1,1,1,0
3380895593,0,1,0,1,0,1,1,0,1,1,1,1,0
3381405418,0,1,0,1,0,1,1,0,1,1,1,1,0
3381907280,0,1,0,1,0,1,1,0,1,1,1,1,0
3382417375,0,1,0,1,0,1,1,0,1,1,1,1,0
3382929034,0,1,0,1,0,1,1,0,1,1,1,1,0
3383439404,0,1,0,1,0,1,1,0,1,1,1,1,0
3383949301,0,1,0,1,0,1,1,0,1,1,1,1,0
3384460360,0,1,0,1,0,1,1,0,1,1,1,1,0
3384971487,0,1,0,1,0,1,1,0,1,1,1,1,0
3385481280,0,1,0,1,0,1,1,0,1,1,1,1,0
3385981350,0,1,0,1,0,1,1,0,1,1,1,1,0
